Alba;12864612;SCOALA GIMNAZIALA IOAN DE HUNEDOARA SANTIMBRU;Comuna Santimbru;Alba, Comuna Santimbru, STRADA SANTIMBRU, Numar 102, Bloc/Scara , Sector , Cod postal 517675;4562095;COMUNA SANTIMBRU;13729380;MINISTRUL EDUCATIEI NATIONALE
Alba;12864647;SCOALA GIMNAZIALA NOSLAC;Comuna Noslac;Alba, Comuna Noslac, DRUM NOSLAC, Numar 1, Bloc/Scara , Sector , Cod postal 517515;4562370;COMUNA NOSLAC;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12864698;SCOALA GIMNAZIALA BLANDIANA;Comuna Blandiana;Alba, Comuna Blandiana, STRADA BLANDIANA, Numar 204A, Bloc/Scara , Sector , Cod postal 517160;4562303;COMUNA BLANDIANA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12877728;SCOALA GIMNAZIALA PROF. UNIV. DR GHEORGHE BELEIU POIANA  VADULUI;Comuna Poiana Vadului;Alba, Comuna Poiana Vadului, STRADA POIANA VADULUI, Numar 28, Bloc/Scara , Sector , Cod postal 517545;4562222;COMUNA POIANA VADULUI;13729380;MINISTERUL EDUCATIEI SI CERCETARII STINTIFICE
Alba;12877752;SCOALA GIMNAZIALA ION POP RETEGANUL;Comuna Sancel;Alba, Comuna Sancel, STRADA MIHAI EMINESCU, Numar 27, Bloc/Scara , Sector , Cod postal 517670;13729380;MENTS;4562141;COMUNA SINCEL
Alba;12877760;SCOALA GIMNAZIALA ION BIANU VALEA-LUNGA;Comuna Valea Lunga;Alba, Comuna Valea Lunga, Sat VALEA-LUNGA, Numar 102, Bloc/Scara , Sector , Cod postal 517815;4562176;COMUNA VALEA-LUNGA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;12877779;SCOALA GIMNAZIALA SASCIORI;Comuna Sasciori;Alba, Comuna Sasciori, STRADA SASCIORI, Numar 380, Bloc/Scara , Sector , Cod postal 517660;4562109;Comuna Sasciori;13729380;Ministerul Educatiei  Nationale
Alba;12878952;SCOALA GIMNAZIALA NICODIM GANEA BISTRA;Comuna Bistra;Alba, Comuna Bistra, STRADA PETRU PAVEL ARON, Numar 6, Bloc/Scara , Sector , Cod postal 517115;13729380;MINISTERUL EDUCATIEI NATIONALE;4562346;COMUNA BISTRA
Alba;12878960;SCOALA GIMNAZIALA SOHODOL;Comuna Sohodol;Alba, Comuna Sohodol, SOSEA SOHODOL, Numar 2, Bloc/Scara , Sector , Cod postal 517700;13729380;MINISTERUL EDUCATIEI NATIONALE;4562168;COMUNA SOHODOL
Alba;12884148;SCOALA GIMNAZIALA AVRAM IANCU UNIREA;Comuna Unirea;Alba, Comuna Unirea, STRADA AVRAM IANCU, Numar 69, Bloc/Scara , Sector , Cod postal 517785;4562087;Comuna Unirea;13729380;MINISTERUL EDUCATIEI NATIONALE
